asn,name,country,registry
AS14388,Bronco Wine Co.,US,arin
AS14389,"Cash Express, LLC",US,arin
AS1439,Spring Branch Independent School District,US,arin
AS14390,"Coretel America, Inc.",US,arin
AS14391,"Automatic Data Processing, Inc.",US,arin
AS14392,Capital One Financial Corporation,US,arin
AS14393,Upland Software Inc.,US,arin
AS14394,KBC BANK N.V.,US,arin
AS14395,Federal Home Loan Bank Of Atlanta,US,arin
AS14396,IBASIS INC.,US,arin
AS14397,"1st Class Hosting, LLC",US,arin
AS14398,"Autodesk, Inc.",US,arin
AS14399,Hubris Communications,US,arin
AS144,Lucent Technologies/Bell Laboratories,US,arin
AS1440,"Alford Media Services, Inc.",US,arin
AS14400,Viega LLC,US,arin
AS14401,"MeasureComp,LLC",US,arin
AS14402,"Fox Computers, Inc. d/b/a KansasNet",US,arin
