geoname_id,locale_code,continent_code,continent_name,country_iso_code,country_name,subdivision_1_iso_code,subdivision_1_name,subdivision_2_iso_code,subdivision_2_name,city_name,metro_code,time_zone
260144,en,EU,Europe,GR,Greece,E,Thessaly,42,"Nomos Larisis",Chalki,,Europe/Athens
260183,en,EU,Europe,GR,Greece,I,Attica,,,Chaidari,,Europe/Athens
260204,en,EU,Europe,GR,Greece,I,Attica,,,Keratsini,,Europe/Athens
260210,en,EU,Europe,GR,Greece,I,Attica,,,Keratea,,Europe/Athens
260348,en,EU,Europe,GR,Greece,L,"South Aegean",82,"Nomos Kykladon",Kea,,Europe/Athens
260465,en,EU,Europe,GR,Greece,E,Thessaly,41,"Nomos Kardhitsas",Metamorfosi,,Europe/Athens
260644,en,EU,Europe,GR,Greece,G,"West Greece",13,Achaea,"Kato Achaia",,Europe/Athens
260891,en,EU,Europe,GR,Greece,H,"Central Greece",05,"Nomos Evrytanias",Karpenisi,,Europe/Athens
260989,en,EU,Europe,GR,Greece,E,Thessaly,41,"Nomos Kardhitsas",Karditsa,,Europe/Athens
261249,en,EU,Europe,GR,Greece,I,Attica,,,Kamatero,,Europe/Athens
261396,en,EU,Europe,GR,Greece,K,"North Aegean",83,"Nomos Lesvou",Kalloni,,Europe/Athens
261414,en,EU,Europe,GR,Greece,I,Attica,,,Kallithea,,Europe/Athens
261507,en,EU,Europe,GR,Greece,L,"South Aegean",81,Dodecanese,Kalymnos,,Europe/Athens
261537,en,EU,Europe,GR,Greece,G,"West Greece",13,Achaea,Kalavryta,,Europe/Athens
261601,en,EU,Europe,GR,Greece,E,Thessaly,44,Trikala,Kalambaka,,Europe/Athens
261604,en,EU,Europe,GR,Greece,J,Peloponnese,17,Messenia,Kalamata,,Europe/Athens
261614,en,EU,Europe,GR,Greece,I,Attica,,,Alimos,,Europe/Athens
261708,en,EU,Europe,GR,Greece,F,"Ionian Islands",23,"Nomos Kefallinias",Ithaki,,Europe/Athens
261720,en,EU,Europe,GR,Greece,H,"Central Greece",04,Euboea,Istiaia,,Europe/Athens
261721,en,EU,Europe,GR,Greece,J,Peloponnese,15,Corinthia,Isthmia,,Europe/Athens
261745,en,EU,Europe,GR,Greece,M,Crete,91,"Nomos Irakleiou",Heraklion,,Europe/Athens
261772,en,EU,Europe,GR,Greece,L,"South Aegean",82,"Nomos Kykladon",Ios,,Europe/Athens
261779,en,EU,Europe,GR,Greece,D,Epirus,33,Ioannina,Ioannina,,Europe/Athens
261807,en,EU,Europe,GR,Greece,D,Epirus,32,Thesprotia,Igoumenitsa,,Europe/Athens
261814,en,EU,Europe,GR,Greece,M,Crete,92,Lasithi,Ierapetra,,Europe/Athens
262036,en,EU,Europe,GR,Greece,I,Attica,,,Glyfada,,Europe/Athens
262098,en,EU,Europe,GR,Greece,G,"West Greece",14,"Ilia Prefecture",Gastouni,,Europe/Athens
262135,en,EU,Europe,GR,Greece,I,Attica,,,Galatsi,,Europe/Athens
262398,en,EU,Europe,GR,Greece,I,Attica,,,Filothei,,Europe/Athens
262411,en,EU,Europe,GR,Greece,D,Epirus,34,"Nomos Prevezis",Filippiada,,Europe/Athens
262420,en,EU,Europe,GR,Greece,D,Epirus,32,Thesprotia,Filiates,,Europe/Athens
262426,en,EU,Europe,GR,Greece,I,Attica,,,Fyli,,Europe/Athens
262603,en,EU,Europe,GR,Greece,L,"South Aegean",82,"Nomos Kykladon",Ermoupolis,,Europe/Athens
262607,en,EU,Europe,GR,Greece,J,Peloponnese,11,"Nomos Argolidos",Ermioni,,Europe/Athens
262628,en,EU,Europe,GR,Greece,H,"Central Greece",04,Euboea,Eretria,,Europe/Athens
262701,en,EU,Europe,GR,Greece,M,Crete,92,Lasithi,Elounda,,Europe/Athens
262715,en,EU,Europe,GR,Greece,D,Epirus,33,Ioannina,Elliniko,,Europe/Athens
262719,en,EU,Europe,GR,Greece,I,Attica,,,Elliniko,,Europe/Athens
262752,en,EU,Europe,GR,Greece,I,Attica,,,Elefsina,,Europe/Athens
262784,en,EU,Europe,GR,Greece,E,Thessaly,42,"Nomos Larisis",Elassona,,Europe/Athens
262833,en,EU,Europe,GR,Greece,I,Attica,,,Ekali,,Europe/Athens
263064,en,EU,Europe,GR,Greece,I,Attica,,,Dionysos,,Europe/Athens
263148,en,EU,Europe,GR,Greece,G,"West Greece",13,Achaea,Diakopto,,Europe/Athens
263824,en,EU,Europe,GR,Greece,M,Crete,92,Lasithi,"Agios Nikolaos",,Europe/Athens
264308,en,EU,Europe,GR,Greece,H,"Central Greece",04,Euboea,Avlonarion,,Europe/Athens
264354,en,EU,Europe,GR,Greece,I,Attica,,,Attiki,,Europe/Athens
264371,en,EU,Europe,GR,Greece,I,Attica,,,Athens,,Europe/Athens
264396,en,EU,Europe,GR,Greece,J,Peloponnese,12,Arcadia,Astros,,Europe/Athens
264416,en,EU,Europe,GR,Greece,G,"West Greece",01,Aitoloakarnania,Astakos,,Europe/Athens
264445,en,EU,Europe,GR,Greece,I,Attica,,,Aspropyrgos,,Europe/Athens
264559,en,EU,Europe,GR,Greece,D,Epirus,31,"Nomos Artas",Arta,,Europe/Athens
264668,en,EU,Europe,GR,Greece,F,"Ionian Islands",23,"Nomos Kefallinias",Argostoli,,Europe/Athens
264670,en,EU,Europe,GR,Greece,J,Peloponnese,11,"Nomos Argolidos",Argos,,Europe/Athens
264683,en,EU,Europe,GR,Greece,J,Peloponnese,16,Laconia,Areopolis,,Europe/Athens
264839,en,EU,Europe,GR,Greece,L,"South Aegean",82,"Nomos Kykladon","Ano Syros",,Europe/Athens
